state,total_votes
Delaware,490935
Georgia,4952440
Idaho,858826
Illinois,5969702
Iowa,1670617
Kansas,1367755
Kentucky,2134667
Louisiana,2071543
Maine,819183
Massachusetts,3564136
Michigan,5479708
Minnesota,3211995
Mississippi,1312037
Montana,605637
Nebraska,979339
New Hampshire,795603
New Jersey,4443684
New Mexico,917237
North Carolina,5474951
Oklahoma,1556361
Oregon,2321249
Rhode Island,493429
South Carolina,2512810
South Dakota,420219
Tennessee,2959697
Texas,11144040
Virginia,4400699
West Virginia,778918
Wyoming,270866
Alabama,2316445
Alaska,354587
Arizona,3355317
Arkansas,1193261
Colorado,3235659
Georgia,4914395
